id,Int_NP_pos_01,Int_NP_pos_02,Int_NP_pos_03,Int_NP_pos_04,Int_NP_pos_05,Int_NP_pos_06,Int_NP_pos_07,Int_NP_pos_08,Int_NP_pos_09,Int_NP_pos_10,Int_NP_pos_11,Int_NP_pos_12,Int_NP_pos_13,Int_NP_pos_14,Int_NP_pos_15,Int_NP_pos_16,Int_NP_pos_17,Int_NP_pos_18,Int_NP_pos_19,Int_NP_pos_20,Int_NP_pos_21,Int_NP_pos_22,Int_NP_pos_23,Int_NP_pos_24,Int_NP_pos_25,Int_NP_pos_26,Int_NP_pos_27,Int_NP_pos_28,Int_NP_pos_29,Int_NP_pos_30,Int_NP_pos_31,Int_NP_pos_32,Int_NP_pos_33,Int_NP_pos_34,Int_NP_pos_35,Int_NP_pos_36,Int_NP_pos_37,Int_NP_pos_38,Int_NP_pos_39,Int_NP_pos_40,Int_NP_pos_41,Int_NP_pos_42,Int_NP_pos_43,Int_NP_pos_44,Int_NP_pos_45,Int_NP_pos_46,Int_NP_pos_47,Int_NP_pos_48,Int_NP_pos_49,Int_NP_pos_50,Int_NP_pos_51,Int_NP_pos_52,Int_NP_pos_53,Int_NP_pos_54,Int_NP_pos_55,Int_NP_pos_56,Int_NP_pos_57,Int_NP_pos_58,Int_NP_pos_59,Int_NP_pos_60
11073,13.50009546,13.29696773,13.5818264,11.99820875,13.84824014,13.91701057,,,13.03696097,14.04775916,13.89121633,,14.36350008,14.40873525,14.00599494,14.40934367,14.6276355,14.51604267,14.38243659,14.44576637,13.60398239,13.90686565,13.09825879,13.47315833,14.39709786,13.83676767,,14.47156472,14.08472772,14.26820861,14.20610556,14.25751076,14.68779962,13.9475661,14.22182457,14.30845269,13.77000087,14.61980579,14.16869325,14.06924934,14.15062917,14.13791596,,14.09872638,,12.27906196,13.29266611,13.36341126,13.77381993,,13.66678838,14.30401582,14.40996013,14.40544082,14.28927358,14.41706014,14.71206766,14.1583823,14.48916322,14.37437737
13013,,13.40305381,12.95858987,13.52406202,13.20346811,13.92802633,14.61519624,13.90162383,15.26350204,14.23915409,15.61809311,,15.19320689,,15.24668029,15.84638711,15.0402951,15.50134531,15.22696635,15.78351595,14.89424202,15.53839016,15.23096873,15.87330057,,16.00553508,15.6338394,15.02476981,14.82545211,15.26956345,16.51598181,15.72681923,15.67933937,14.95364712,15.60088359,14.13546585,15.57544606,,15.44714225,15.63097499,14.81773386,15.06229096,15.15968443,14.87200718,,15.76894266,15.40591422,15.1056706,15.17507294,15.11418153,15.96216254,16.46146666,15.98349071,15.89549643,16.41561969,15.53168086,15.77216684,16.13204038,15.69380404,15.78215857
13022,12.94805047,15.24447114,14.24610425,,15.08941259,13.81055897,13.62028005,14.06431321,,,15.87702835,,14.16784256,13.93531538,,14.88337217,15.32501535,,15.80854885,15.38043747,,15.2770716,15.61525956,15.61958487,14.29403752,,14.55549341,14.91996312,13.39764391,,15.52618608,14.40240787,15.40922106,12.98727626,14.72961999,13.53718354,,,15.50411727,14.89105004,14.02168451,14.45240303,14.07280573,,,,15.13236524,14.13215784,14.3553086,13.77513421,16.02660329,,15.2172563,,15.35953194,14.50059936,,15.30298914,,14.9517564
13090,,12.60340081,12.93330691,,12.90930533,12.14757236,14.4276448,,14.66451171,,13.78446834,,13.89300497,13.82652937,14.48858417,14.82084601,15.32965173,15.11855624,15.55423462,14.74500955,13.69437365,13.94718412,14.61934984,,13.62690867,14.68771084,14.25301449,13.72778889,13.76951294,14.15825088,14.33550282,14.58810629,14.80487283,14.17320729,14.59666889,14.07352919,15.88010197,13.95563647,15.42490115,14.92976288,13.51812406,14.31447049,13.89249603,13.18846549,13.83795717,14.82522978,14.01923561,14.15032313,14.2181892,15.00308547,15.26664462,14.68486379,15.15665277,15.25086633,15.24441448,15.19837514,14.59007313,,16.03317049,14.91276326
13282,13.73362674,,13.83973112,14.89686805,13.94725328,15.02181124,13.93251496,14.3614805,14.89545319,14.49371747,13.35606809,,,14.86262479,13.97041961,14.79679917,14.95034146,15.10428368,14.83648243,14.9862661,13.81365096,13.8046619,,13.07901306,13.78568136,14.13968134,13.81913336,14.23866586,14.73227684,14.44161131,12.58582995,14.00205618,13.85706541,13.87507929,13.87325255,14.83284367,14.94967267,14.90785294,14.86994596,15.11442381,,12.5014325,14.03040199,13.36421196,13.29998388,14.61182481,14.42793359,14.29158111,14.52207883,13.44596932,14.08170447,14.23245013,13.82243128,14.30338001,14.284534,14.84448752,14.38002339,14.82970353,14.72095927,14.86582267
13313,,,13.77673809,13.771088,13.70806386,13.84557058,14.24234441,14.0985521,13.91087637,14.21366633,,,13.89415106,13.58274481,13.80361696,,13.79476227,,13.82643736,13.82925248,13.58747568,13.77334151,13.75221867,14.01345183,13.84056518,,13.55477004,12.98692567,13.16057412,13.19745593,13.79018011,12.9844251,13.4893167,13.13684319,13.48841041,,12.89451794,13.60921982,13.2332135,13.77575762,13.83739735,13.69647249,13.96808635,14.19057618,13.9218922,14.13738169,,14.03687635,14.34264771,14.50816831,13.88323127,,13.87391185,13.45877853,13.69048903,,13.85902967,13.92285425,13.77410583,13.86168027
13416,17.18071455,18.87734157,17.94347365,17.50602034,18.5263861,17.83398066,18.81456438,17.98161472,18.55478902,18.18183845,18.84186722,,,18.25988745,19.42372389,18.94738341,18.99652099,19.58155144,19.90194698,,18.22391445,19.16374896,19.28477105,,17.89249739,18.41279689,18.71164151,18.1585217,18.04231704,18.90973737,19.20032037,18.48692848,18.53587436,17.92817749,18.60138429,17.78964729,18.75220321,,18.64328718,18.38383087,17.90050351,17.86704899,18.16556297,17.60924396,18.04262372,18.66688986,18.47226192,18.5938452,18.34741355,18.64499212,18.72956266,18.7378129,18.63478256,19.34639446,18.76165295,,19.2633283,19.53405096,18.78160718,19.25468797
13500,,,12.50884219,11.4020609,12.7798119,12.17866793,11.72086255,12.10799571,13.12559958,13.27245565,,,13.98720697,12.93991797,14.0614131,14.09524659,14.37760334,13.13453478,14.41853173,14.47338538,12.90047544,13.56158004,,13.48804133,12.64329128,13.71162043,13.38605909,13.03058608,12.05963458,13.01975385,14.01137059,13.30196383,13.15608235,12.64649038,11.90409005,12.46141661,13.9081937,12.11725918,13.99426199,13.3760578,12.02600291,12.42672167,12.63010474,,12.15534104,13.8836428,12.71257653,13.00242517,13.21590108,13.77077303,14.24278343,14.04953033,14.08298387,14.02708415,14.14762336,13.94243282,13.88221093,14.27712486,,14.3150852
13683,11.99901158,12.70898979,,,11.90816895,,13.10111423,13.01390529,12.99447277,12.98793878,12.5100582,,,12.40522091,12.82515025,12.96964257,,12.69027511,12.83595956,,,12.88209494,12.90571313,12.77758673,12.02711147,12.6908249,12.79995851,12.05756484,,,12.6876344,11.77979654,11.90263915,,11.88166724,,,12.13574731,11.80990084,12.35799488,12.75028195,12.30837203,13.08424884,13.00995661,12.51952823,,12.36651754,13.23308411,13.48527329,13.56822377,,,12.95286788,12.40840503,12.60979535,,,12.84437202,12.82213618,13.01644616
13719,16.05593404,15.93180693,,16.05703105,16.01888494,16.11252631,15.68706401,15.83187144,,15.7292994,,,15.68539918,15.71642979,15.55571657,15.6746045,15.7154432,15.60007325,15.49036213,15.56074017,,15.74155742,15.74500698,15.67035526,15.90606351,15.80026747,15.58212966,15.99425023,15.96009469,15.75917704,15.34870898,15.24276342,15.68730293,15.73378469,15.5152165,,15.50050556,15.8050167,,15.83750264,16.11849132,15.91405115,15.87471117,15.9343543,15.94549528,15.4287185,,15.65195026,15.630067,15.52868111,,15.40456785,15.50360162,15.39415439,15.29457119,15.60395697,15.33927111,15.38853735,15.36070633,15.31041405
